case_number,case_url,file_date,property_address,filing_no,volume_no,page_no
RP-2025-189790,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUjgqoqBvoQ8llUmcjX0VkVhFsBXr+5SZtxBGORBc6rJ/bSk6T5j50NL9+7YfpZOw2WviZbJ7ET3cFKC02dKTIDnfQk7XAJOCKVFebOvCobmGxmLBMBIDjxF9JMsRa7iWw==,05/20/2025,,,5,5
RP-2025-189628,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVR8H/flnLAlKuvnkVUp0Dp0m6dyH6iIp9Y4VBs4WIv2UNGnNxTe6+FMBnnw3IIA21qaHIhWViuKZ9J4Ga4cmyggo8P9a5Nh9OdNT4jnrn3eYJiKG16wSPxdUOsomHPXN4Q==,05/19/2025,,,2,2
RP-2025-189211,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWT2tLMOMCLGbJQIDotkxRI+Ps7y7uGU/jPjiIBDiZl7FBKf5uUJnlJOf3P1oYPDggTj+zO59stH/mwb3TCZsyylbah6ezPajqv0QWcYsZVRdn9mmAmhLDjfEQOKo35aSQ==,05/19/2025,,,2,2
RP-2025-189086,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVZkaznpNG1a5UzT1nE5IR3lrxx051WoX4iDmZHgT7pVTgQojunU3CRBBBekpae5x5lc1q2ajppR++fUrSZQVAhFUugi0gM57e5/DjkBRNqO22Au0u5EhR+OQiO3fEZnuPw==,05/19/2025,,,5,5
RP-2025-189062,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfn/hqlxgwU3XePo5C98sVJcYKDtZwvxRB3+X1tWcQK0FMHBQN5WHu+B+8t3X4NAM+Gz4AekkvhvNA9gDY0Mg0WOPUPZ+EoQfQJlKsOi6X9as06Ow1OJVxmxGKgyjlahHQ==,05/19/2025,,,3,3
RP-2025-189052,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQWVoLZwbagBlaw/ox4OReBOH4rETgEJLrkWuWb50W4LmDMieFcJwbnamOweliaxBNRC/9VBXko/672EjU72xCtp2QQ+pK/GkapLSYqi0qFC8sD9NSegDWJhdYgJk18PNQ==,05/19/2025,,,2,2
RP-2025-189039,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVd6cu06e+YRLbL8vaX10Y6CE1bZ9CFxx76JzpnxqbkAkgJjhjZmCWHZH+aOxB3MHSUvMoDvPNWr4UnkMUtjRxj23yOP09vdb8bPkXP6WB4JWGGbUy9PgwqvOY7fcN5NsjA==,05/19/2025,,,2,2
RP-2025-189015,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSU0qf9E8/5z6WlbvE6GCNV2jLzF+e403zU18rtxyrbK9PWsVQe56gma/sovGXXzFYzVu2tmOJQpigqaz9/lsFxcvcdKe8u0j44h/+GGfJwY3AaXXEpbfSSvphKigl4UXA==,05/19/2025,,,2,2
RP-2025-189014,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVf36GKuzl6Xo94PBzLSX330E0Y8zOz5JYitx1tFyyZBbzuy4MXo3j937sC7oXpWOzilafJuSqXxcSoru7AdetxFeSv7j2YISurtbXr2k9SrqYNNMSFm+XgP7aK82eTFwGA==,05/19/2025,,,2,2
RP-2025-188951,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbqqKAzZHFCkf3lrBierXsHTK/vpl9L9V5NpX1/X5fY1nDgOh+02s0CwScE/dRj+dVC1NQBXTw21N8z4zHRW+eXWdUus8oMbJ0dWqhNsHFvuHfe2WOsj4IxvXMZuIflSkQ==,05/19/2025,,,2,2
