case_number,case_url,file_date,property_address,filing_no,volume_no,page_no
RP-2025-186394,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVcntPY9V2rnqQ2hWo5j2VM8y3/LqUcy826yLSyHN0PHLs+x0EOxGhrWTD9tDBJuy1xmrvIdNcgyCRQVwkYt4DlRDsUkujsAETvr2AfAl/wNbey2gOwvlCSORYUKP9CwaVw==,05/16/2025,,,2,2
RP-2025-186384,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTmUiWUgRmqK+K8xmU0ngOoateCfk9IA6VdqvBoz107Lr/RD7Q8nS93VmCpXuBYIpb4XHoGmyc1+Ba6MtpT0i7g8STVbLtBWdQI1rh+eXwhA28Y0xd2j+B6UfWTSW0z2kQ==,05/16/2025,,,2,2
RP-2025-186308,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbaacHErMtLKfNNwG+G/oMhKTY7I1y/Tl9wJ5PXndTpjvaJFVax5NyacYH26Yc+qnimQAMFjvtkvKLT5sxkItDkaRAAFeoZ4qPAO8aALijWHw1Z9vdl9kdbKs51g2IJAzQ==,05/16/2025,,,2,2
RP-2025-186251,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbqcX6l5UAsDqjYHhrY5lB6iEZUHFhwJhXhLvuZDYipcC5kB3wHdIQP6j2Hjrt5ZO2pVhJan9rd8kteP+E/7SYTz4/0Rx5gVCJLTWpvRXM+yVAQpGtA6TSiJKG9UUlbPiw==,05/16/2025,,,2,2
RP-2025-186133,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYTYXfwei1p8i6TsPGamGuuSGsCYDGhG1JX6Je7jH6+o+6/ET4ukA5oe12FpY0DbLlL2YfZb7GQM4jcIOXhCsYq8Ltxrn+grLGE7mePzzCXhknU5MGlI5i6nzCI7pIEIOw==,05/16/2025,,,2,2
RP-2025-186117,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaU7knwaHWvsTreahQymZxwFpqT4qQ9i1Q231adrcjlSJNYQdtWDEwU9x9Nqq3LeROLqVdpqMgzqgQtwyUN0qcLCPxsKE9Ld2yKgAeaNPoyYePkPXrv9sUKOmBR2jVdbdw==,05/16/2025,,,2,2
