case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type
RP-2025-199800,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVY6CAuwcw69/GLJ8N1WEv3U1Xheuzx8EEHNs5NUei24WilqTgRfZ6RW9fQsE+NAmg4Z42+mzKrN4wS24R7PrG4Y4BEPr96jbfFGCMzdTbb+YclLO7IEfmy1RhIlLm0huYg==,05/27/2025,"5746 Tabula Rasa Dr., Katy, Texas 77493",,3,3,Harris,2025-05-27 17:22:29.653061,True,L/P
RP-2025-199530,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWzpXEj9eeOjadYymavPWQbpKqmlPQGMBGRZK+nmV+0GjpY5B0io46ZNidudQsYESMnblueOWZqyw6pgJPJzITTmZFcs3ozbYtDO/dJ3URW4oV5a6PZcFqL3UX7yNFFCJg==,05/27/2025,"the North 42.50 feet of Lot
Eleven and all of Lot Twelve, Block Sixteen, South side Buffalo Bayou, an addition
to the City of Houston, Harris County, Texas",,3,3,Harris,2025-05-27 17:22:40.822991,True,L/P
RP-2025-199332,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVW1zxVNI2CcSb/DrZ200EOTTdP3XqdgXFlIEeQ1LqbuIS1SaAv7b9oRp4KnK0ExDhS4ORT+nJA8rRLyvuSTfhxQtMQSNgFrlk5cFJFJjHwIudcdlCVbmQo6AluJ+uG4zlQ==,05/27/2025,2025-34311 MEMORIAL CLUB TOWNH,,3,3,Harris,2025-05-27 17:22:53.709358,True,L/P
RP-2025-198582,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVRpqT3vUVxJ4dewWKrVUS5wGR2hDpd4MvdhDSBJfESyUWJhnYWIevoVS/wjDyNiVR8yxX6g6oFKnr2cHpsZRLjRG90AH7bdvNIfope4vbxerX4Kn3KV59X/acse/yhhKA==,05/27/2025,"Harris County, Texas, 77070",,2,2,Harris,2025-05-27 17:23:07.035332,True,L/P
RP-2025-197919,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQSL377SkaM+Wsn/2c9yom32R/seN8RsyYzDFS5aMtRPefzF8okPOzMJHsNGBgbFf2ls+J+J/pEOEUqQJlaNdGAe9BleGWfE3sLVEcgky0hcUDE33/GXpsV2oCceva/lbQ==,05/23/2025,"Houston, TX 77002",,13,13,Harris,2025-05-27 17:23:19.433959,True,L/P
