case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type
RP-2025-203136,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUvn052S6MceFfmZiCR92mZL9ahaeOz+DssR2PHcKH94RVOU8eQ2Y4FHCp/55IYWifnD9j/n6RGuGw4VwjW+GYqiCAzZvy+hq2eIEBeN2a1agVXIUtUikiLIcQKCRkFBvw==,05/29/2025,"one tt 05/29/2025 ER $0 00 DN NOTICE OF LIS PENDENS. STATE OF TEXAS COUNTY OF HARRIS Notice to hereby given that Cause Number sores so as § 8 & Court, Harris County, Texas, The ago Texas 77093. known as: 1936 Margaret Street, He to Curther described as LOT 5 AND TRACT 44, BLOCK 5, SUNNYLAND FARMS. AN ADDITION IN HARRI 'OUNTY. TEXAS. ~/ In the above-reference case. Pl Ihe State SITesas und Harris County Texas bring f hit DB \l Jarin Martine? treated, used, 4 public enforcement icon al and recorded real property Siyned on May 28. 2025, \} k speck ""HRISTIAN D.",,3,3,Harris,2025-05-31 17:39:45.640019,True,L/P
RP-2025-203135,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVU8D3ce6CTekJYGZEM9DNpSu5Okbjse05l0ppWDTFkvQfi+IVHfTCa2/mQWvfWpk2IrHiuWkBuNT6Z9pw5p/9MZQ2Hv9Lx9AuDREB8GtYg8+C3bXmpPSld2M3WHPMir4ag==,05/29/2025,Empty string,,3,3,Harris,2025-05-31 17:39:56.296720,True,L/P
RP-2025-203134,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVc99sawVRrh+2+ymzBxLryo/9A/xlrNq+D1SvA9ydNlRL1uMxriEfb5YN/rWMxOTPz3kJOfirv/s6k740Y8nSiiXTqMvoO1JUQxY9J7vhu+8c3QsF+JVJBQ/feMgfDOcRQ==,05/29/2025,"2105 Fimat Street, Houston, Texas",,3,3,Harris,2025-05-31 17:40:06.045310,True,L/P
RP-2025-203129,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaF9BacAGL2VPKpXwZYK+8hvDykL2MB9LnFdRyKmRiSnp1mogjJd6v7qYvGCG5sDcqQMdUpCZJOEze3BmIawKjziBPoPvb6YK+WzmSd/WC08sDmY7uOrn3vSc1B4EKmpYg==,05/29/2025,Empty string,,3,3,Harris,2025-05-31 17:40:16.200290,True,L/P
RP-2025-203128,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVftXVtMH1Lu2DhgoQoaVDS+8hz412FB9wn4EtaXZ1zhrdDGcfIWeX4PgUXuadVIfM6J9qgZNxKafobZMPAd3pgdKAJVGQz0pDPUuPMyf+yMvpSpUHI/JT1RdMMoeu243OQ==,05/29/2025,"0 Brookside Lane, New Caney Texas 77357",,3,3,Harris,2025-05-31 17:40:26.230754,True,L/P
RP-2025-203124,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSZo2I2LCWkYSuxLtEooI73Zdby/EhAn4vN2u3lzFUImUUTQXIITYVTlN9oLO259Z+OrzlUnF6+nb6zsaC0Pmx0Aj4ktoL2y7wbbt3QFEKYsv3Mp4Kxjte7PKPI3W6VPSg==,05/29/2025,"0 May St, Houston, TX 77091",,3,3,Harris,2025-05-31 17:40:36.602905,True,L/P
RP-2025-203123,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQ8OR1eHsLtp67NgtEhJCV0gmlgpbvwvCkCAgTFra0qzYaN9ofQxk4kv4L2OlsLPsq3rQGQHsTRwYNuzunGi6FvXjdAHyYKKg3NmN7uckQy10uAkdI8yD52YINpC2pFbyQ==,05/29/2025,"Inby Street, Houston, Texas 77088",,3,3,Harris,2025-05-31 17:40:46.907488,True,L/P
RP-2025-203116,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbT7w4yrSF/tSSe7e/knAubaqjaQ+QvBlHCvSFNat55sVI1f3RQk5ULUi2ev/L6QT/h6NZJnMnzvawbO8TFM5wQKvpErIH6Y/EztYQ7YGWbHa1GDrG0gIvVkmA+pE40ZSg==,05/29/2025,"West Little York Road, Houston, TX 77084",,3,3,Harris,2025-05-31 17:40:57.460497,True,L/P
RP-2025-203115,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVX6T4eERzDhEKH3P9itJtOcibnq7lNp6Gx8HDt8SZO0FdyzN11YM1fwbvmG+LWiVVpmnZf1Mydqjtx+IAd8FZZwUOHy0vE6f13mPGlmfnYM3IHwEojnsbIXDl4Wd9c7sQA==,05/29/2025,"0 Knox Street. Houston, Texas 77091",,3,3,Harris,2025-05-31 17:41:07.654705,True,L/P
RP-2025-203109,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVX7YVtci02kasFgeo/vnaCGwTd+uiJT8frRyRzQA3ltWg5t7C2DOEzaO7EJUViHm61w33bM0XQKtLYV8EGStfa+CWJoNhDeVr5llL48clpQs7ZE2pKXDScBvBvPF1+e44w==,05/29/2025,"HIGHLAND HEIGHTS, TX  ZIP code: 77088",,3,3,Harris,2025-05-31 17:41:17.975893,True,L/P
