case_number,case_url,file_date,property_address,filing_no,volume_no,page_no,county,created_at,is_new,doc_type
RP-2025-197560,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVcSjngh+DgTfslXS8+gBGCVvbUEOvpeIJKlU6Ce/I5VG/qDwXAS2FXXXsgxXGNnBer1Dnem8rcw8nse2ZQiIxQnhZGlIzp7oEgUrZRPxCSrnHgnlMNmEY0IY2Uz2gPzdMA==,05/23/2025,"1095-2676 Bridgeland Parkland Village, Harris County, Texas, 77095",,2,2,Harris,2025-05-25 10:16:04.428267,True,L/P
RP-2025-197114,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVR6VEvtLPvyrY68DiO9dOeR5cBDtuz85mY38VnVdSYsoP75Fec1EbSgXLjmk55izWx/uH4vv5fZ+8jtvmMhC3sexl12ot+R6z7B7faxpa/Bmuq9dfQPmKoctD0m4scAPsg==,05/23/2025,":
See Exhibit A and which properly is commonly town 28 9133 Briar Forest Drive,
Houston, TX 77024,

‘",,3,3,Harris,2025-05-25 10:16:15.626901,True,L/P
RP-2025-196910,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbhdFQppyCIL2qBPKrY0PKzNvcQ2KmUhm4bD2Uk5r1UcuzHlnzhviCVpLvtfXxVy4Z5R1zdFVrsc9YtNmprITAyZmEjKn5kmL2YJqhB6AnSab9jG7DtZ0mXO/v4E27EAGQ==,05/23/2025,": ¢ vA

Lot Ten (10), it Black Thirteen (13), of | Coppertelt Mttegnte Village, Section One
(D, 9 subdivision in Herris County, Texas accordirig’ ta-2ht wap or plat thereof,
reconded in Volume 288, Page 220 of the Map Recotts of iris County, Texas and
zahich property fs commonly known as 8154 Sileht Cedars Dttve, Houston, TH 7703.

ns ny of dant seat nd ater rye ni",,2,2,Harris,2025-05-25 10:16:26.415583,True,L/P
RP-2025-196292,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaWyN7Fad7DKLH7S35fMoeyN8lJVGhUwBh5D1u1TcD/OakjB5LK9/f7WnF4decPNsv8gdSKPhUQpacEAolWlN6FGZa7uOhU0t4cYzPcGK2DLhSLXzlpkEDrrjADU/c2EzQ==,05/23/2025,"260 EI Dorado BWd #812, Webster, Texas 77598,

‘The uction seeks foreclosure of Plaintiffs Sr foitrerrences property in reference

Me",,3,3,Harris,2025-05-25 10:16:42.334089,True,L/P
RP-2025-196122,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRDlz/rGzzGLcizhXfryOviQr7Skz1mPN7Xlv66j2GRisieacYRg1VBsC9CIZsYu6uIkTvVhZnM5pkqrLW+eOEyGlSMnB4sFBoGXi3SDJp7oT5/TOShaDRArd2oF8l8Rnw==,05/22/2025,"Address: 018 Oat up pevageantneae
City: Houston
State: Texas
ZIP code: 77002",,8,8,Harris,2025-05-25 10:16:55.870403,True,L/P
RP-2025-195871,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVcp1u/xzwXaGBYYcrkRCfUxe6YZh9TfR85Z9hYQ4g0ZXkVpSLvdvRbHmsZGtt/xXxizenqO4Ceq+XpZi6pIF98Dn6OIlvBQYBxpnf/NqM4ydnjoYLiFkfe6WD8+5eQ/phg==,05/22/2025,"t

A Lot Ten (20), in Block One (1), of Windrose West, Sec. 7, a subdivision according to the
aap or plat thereof filed wider Clerk's File No, X-499897, recorded at Film Code No.
% 085, of the map records of Harris County, Texas and which property is commonly
enowy as 20714 Pinebrook Hollow Lx, Spring, TX 77578.
Meco) reavery of {clinquent assessments, interest and other charges",,2,2,Harris,2025-05-25 10:17:06.092763,True,L/P
RP-2025-195798,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTb7axTCdPl2pdQu+R9g1GnuBFjT+cKJVCba6Un1HQQ+Hlri65ThQsc/f2o1mX23HhuEmmqpPY49bJ10WHVOJPPDyZFAgO7tD2i+DJRIR7REzaReEHvyNwkwgkW3FdjGgg==,05/22/2025,"Spring, TX 7573",,2,2,Harris,2025-05-25 10:17:18.162641,True,L/P
RP-2025-195474,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRpzaO1Sd+MDMBdDD7NYtE9pX8IS7Nj1Mk++Fl1BxZBVQ8PZHwl1/XiSN5wWGT14bKOOQlrqXooWRSdLTbTygKyzvbWZTVchxhLGNTi8rX6iIaKg4k3pUkQF8K+b87JWlw==,05/22/2025,"6618 River Bluff Drive, Houston, Texas 77085",,2,2,Harris,2025-05-25 10:17:29.859473,True,L/P
RP-2025-195383,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYZdGfoWOeCDY9hjjIb+R66KCXFh3b21g2Kn9vh6Wt2SyoGCMuiNeKc/A2aCCnIRUCVZFa+Ia+v519UYH0mwfY67R1Z8S0p4NxMK+f8wDkItH67IvZkmgPOMtq2DoXqU5Q==,05/22/2025,"Lage Forest Court, Houston, Texas 77092",,3,3,Harris,2025-05-25 10:17:40.678834,True,L/P
RP-2025-195255,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfUmY02lXXJNvISvlhzOh+MAdvv5ZYu8sn2+czzUwCpChncJ+G00xNjJuyPbQ7CGwcNiHFyEyQax2r50eztYTFBnHog3W4TQRE7n97wZy0YPQXuVLsHr/wUuSPr7qCvqBA==,05/22/2025,"22127 Nobles Crossing Dr,, Spring, TX 77373)",,3,3,Harris,2025-05-25 10:17:54.082096,True,L/P
