case_number,case_url,file_date,property_address,filing_no,volume_no,page_no
RP-2025-168151,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQei1NqkVJy47fP1FKYDx33BsJdeWqfackoKUioGpx+DtxFzuoVTAVXsKYldKcRBHBdXiCGR9UeIdkx+xf/oeWXPQgKqf9uM7/TZk7AuLVPz2ol2iS6N5zJaRQOwsE+xJA==,05/05/2025,05/05/2025,,2,2
RP-2025-168069,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVY92jeqtk7VpipDcFzGhfQZvlXoV6yL+G1u3Btx4/95BvyWlmJPLUmlg6W/mFOtS3ezC6NCrRc5T4zcRxKUpKE7Lm07mxkmPlwf+Jxs/sURWnUmbmBExoWHWLRA54QkY/A==,05/05/2025,05/05/2025,,2,2
RP-2025-167540,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVUmKEpn9+H7htmTdGxBxkD+qMEoOY4Ods6WBxcpczAi2cm9vFrfgX3TbFIkER6cY1sv5+yv2aKzQdiKW4m7AFDtFzGYoauXUPkFYZU/F7dt/7h9vzI9B07GWHU5VPPbztw==,05/05/2025,05/05/2025,,2,2
RP-2025-166468,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVZva3uQvA3gkncHWMF1np4mCvtQ95KTp/8V0M7bQhdEaFwFIvQrYYRoB1JNOE2FRl8SnL2BJQ5uuP3TlDFDanm6zAHZYEctvHomuinCGsIUqlbl7B+sY9/eqJzxW+wG5Mg==,05/02/2025,05/02/2025,,7,7
RP-2025-166201,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVcpjbK3JTGD6BZHVWIVhgi39JFmgPlAygIZ7zoTdBJxxcUx3Nr2xjL2jtDjtMEOuCNNPCoQKoetOBmp++RKGO45FFlipXbhvULbM5/S9pDxk2HKVK9TTfqbG6Nw0JMwcOg==,05/02/2025,05/02/2025,,2,2
RP-2025-166055,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWULn6x6qwPyP6AC7LU0e+DVzXP5qlZpdJ2JnB8dNpY13gIooK/w1JGHTAWgoU5+s5hO7EH4Kns7QrF0xtYu5PTq95ld7+V1p5nD7w4TTDopYOnhebmj4Yli94SN75eYqg==,05/02/2025,05/02/2025,,2,2
RP-2025-165779,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWWg34wwUI5X5RTaBwxlEKqYJNt7Bo8rMOd7Ot2kT8kFxepyDa8UNRP76QrXV0K9AWhJj7ixovssR003ajC+NJdUOwdJCOb5qVlC4pMZ9ZCrHu2NeDdzvUYrgw3GKSoDgw==,05/02/2025,05/02/2025,,2,2
RP-2025-165775,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVK8+FDt3XpIHmLaKVGdh9lYdyKjffa8VMaIqpT+eMQ/rfLvWtTkhTuc88yOTw9lFjAFQyc7WK8IfX10bDmQjyDH/VuvsxN+4qQE/Xyg1QN5mKzKaYUzDDP1ZLLezmXPlw==,05/02/2025,05/02/2025,,2,2
RP-2025-165773,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVZ49IlYNch/qf89wyiIzAnXE8cK9HlcGOear9CiZBPi1oLSjNTj0iAcnpO5d9q1tmV4P5FyZPaiO2lMGTMyuPpcS51fdwoIMKLTIKKzodRuTe+WLg28T9aESdeD9npOOaQ==,05/02/2025,05/02/2025,,2,2
RP-2025-165771,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVT/nXN1Jb/+kDtxn/yEXtQVsT5z86I9ruhwsBWBf4GLaZI5z6iGpCkSCA3Jx6fK4gttrmD0aEJxKt8r2cg9hH159msojOR2oKO1ix3rvQu/1FRIL9ocyWmv2Yd1lsHrZnw==,05/02/2025,05/02/2025,,2,2
RP-2025-165767,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVeUAM3SgGhcd6kuDlL4UP3s/LJJOctQy5UwK6CKAqiqKDHR3AixXUV5IGGczZjCRDqDJ5mCW6CmICLAe6ErK0i5uBhlIQR9fgDJHyC8+Ghw3lubWwfpmciwInWiqd+eJJA==,05/02/2025,05/02/2025,,2,2
RP-2025-165235,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVQcz5crA6dztLiSzpUb3+TtN08rDyHX1U3csNZFoLPfSHpRQXpQMafnT0oWjzpM/gmbegd9tRb5EImuFG5cm5zz1eSNS5c9PMLt4RVOHTOXlTWgL7cr2DO+w4a6ZjGxKw==,05/02/2025,05/02/2025,,2,2
RP-2025-165157,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVThnLvzR9v0sSrDISZJNNr96tdxRFQXeyeozjc+iK0arFh4zyY2w3FnlJYyqiAXAijNe5YS3smnEpl3Tp0cHwBwHGaRREP6mtzStpcNr5kwbTGCLF29G326edzEvSKLJDA==,05/02/2025,05/02/2025,,2,2
RP-2025-165144,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSlfbZWU5OgbZDFsmtqAGl4Cbrfr7Vgl8Z/o1vMGHOQc1jusge0QaWMpRV5ml5K6ddkSnSYc2cXJtd5JEeLN9M4Eh85XvcxOAzTdBh0BDFOxjNksvzLbX3cgL3kNHM32mg==,05/02/2025,05/02/2025,,2,2
RP-2025-165109,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQKWGPogqQm4GWpcLn4RAGhvCnSLiljXccvV6yPfY8aLo+9W2fl8Iu323L7Ec8wtpezOoLQfVMdD8+ufmI5sjjIlhxj8EGhnjSt0iMdT50g/qNqXZJ/gTFQG5fiAoTbOjA==,05/02/2025,05/02/2025,,2,2
RP-2025-164928,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSfaP/s0bl/3Uf9bPBeSz3nVxxBDSZSkJ5YzjAiXr85vltf41rMBniRZfgBJHdsfAsI0RvCa2SOAX2fMncStTNmbErdFny3WbyfBxjkR1b/V32MQyAd+0pqbA83bQZup4g==,05/02/2025,05/02/2025,,2,2
RP-2025-164919,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVbWFF3Td7lUjZL5xGTxED5+/FQlrpUvhc5B3Dx7eVCyQ8WSDk3/D5mmeCG7pQkKM307UpamBKMJgSVlEk12+20rJNVWig7D6HwiY1VyKorc/i1torEv3LbD2SU5msipmw==,05/02/2025,05/02/2025,,2,2
RP-2025-164692,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdi8kLN2hYIjD1EZcqQlp0/gZ0GB02yY9CzWK1Zff8Sz6ayJvXDrqZpCuRggJip3jij8CVuIi7cdh1NK+Dvt+byndfVxZfLrCKKn73j9a+KRb2oULyHMlTaab5vDzoQcow==,05/02/2025,05/02/2025,,3,3
RP-2025-164691,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVXFuWKm684cha/L6KpP2ZobHYHY/r0RY2+Z05sRmN7DkSUF+lx7z/dSAakkYn5sD/IAEa2sv4EQMD81RizVKzmaUJa4kMNceb5s7Rn0BKxoSrAaeNOZI84zuViumXL/Law==,05/02/2025,05/02/2025,,2,2
RP-2025-164673,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVa1xx/pMmFyraWRAPRKmxXu4c89HrQ6VNSHf1yHhq929pv4bsCTyDDLcFGrREbOwOI/1dbbcBpXIy9GywjvXMD/CSPzYl2mGQHd9MlTmibIaTpj8bSx+WndKpFmcq2kHlA==,05/02/2025,05/02/2025,,2,2
RP-2025-164105,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQhkZf46Wec3Tax0KrDfFx4EyQG+yd0cSbWkieB8vmfeNDMSt3qzjg35HW/cBaJc4KQnARKxxj+Jy51G1gmrs+io08eAhOMSAGlKSwqiD+09rRfEEjMvS2XuQS1Yu8Fi7Q==,05/02/2025,05/02/2025,,2,2
RP-2025-164099,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQymli0PWSz5yHs0soAUd8c/EGeO0kOD3JYTnD1BMB4M1/hrD9PLyoBSWgc31Nf9tAmu87YzJcNA2eaviAd/gsvch9H0A2HFD9uEDfTNvhg8g3nBLYsYk/OJAzN78i9ohw==,05/02/2025,05/02/2025,,2,2
RP-2025-164095,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfricoiWLknQwruHZ00NN5lgpsGRiIHde436G/d7MElg5ILVIj23Xtkk9ETOzSQe1uk0GMT5SXeqDAVePzaitVVnc/OOfv9rrlPtnafywTlMAtcNJocK/nI0H3cXjPpWOw==,05/02/2025,05/02/2025,,2,2
RP-2025-164077,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWDZ5Ob8aZ0tHADblJ9GFmjr++GZhWYb6NFLsX78t80v1IGwNuKj7XKSVuMriX0qgXyFiKwK9FdTgHfbxLPL145ui8DDD7kwGwNF1+AWZezbFuKyIQ3YoAS99BFC9SEnwg==,05/02/2025,05/02/2025,,2,2
RP-2025-164076,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVY//HPpf59uQ/Rc3vQcaDV0s7T330qJJXMfbGevACGrLn8LChYmqc3fLMRqleSiZ8jfEL+eo7ggxgejxh0v3iBgnKvfAPfyAPmpWPSPW+MaCpfm230Kcs8niqEMLKAs9iw==,05/02/2025,05/02/2025,,2,2
RP-2025-164059,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVVS624194IVEZtljkTGVFs2YWqh4ySmHwQKzJw7hO/dEITeht1/hdcxEKPSP8H648O+TsQkzCi6e2cDRyAMWVGm5jPPoUfrEbEr2LX97C6+03D0ikJ49oheYEQld9BebrQ==,05/02/2025,05/02/2025,,2,2
