document_id,document_url,sale_date,file_date,pages,scraped_address
FRCL-2025-3342,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL+zJuNO6TSz1IIIbgeSxlCsSx/ImIMYh0aWcgxWaGzZYRHQzFh3Gzxowd3gcalpUtx+2OAlUyRR/t3v/uGSKAY3,2025-06-03,2025-05-01,1,"LOT 726, BLOCK 2."
FRCL-2025-3331,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL99DETCRUjdTeDCy2UnAOFD3yg7RosG8+6uqp56f7MkSs157bxU/flrgrFh0tXgbuKjEzT52Xg1BcorirDwdRsv,2025-06-03,2025-05-01,1,"LOT 20, BLOCK 5 WASHINGTON TERI HARRIS COUNTY, TEXAS."
FRCL-2025-3334,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/iA3lOvQu7b/WlkN+Zr2nuUhQyQCeeXRUBLVHCVaRR0gbdryTaLHDjh3T2E11Au4q8FCZo2HQu3jNPfWbkuWn5,2025-06-03,2025-05-01,1,"LOT 3, BLOCK 1."
FRCL-2025-3336,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/+fsyzj7yXAGyuJHs/HRO4UYYFyeqsCcIveLjTyzro7uls4xPdau5GK8KkNW+XCDZ9H3ZePIESnBqlsnYefQkx,2025-06-03,2025-05-01,1,"LOT 56, BLOCK 11, NORTHVIEW WEST, SECTION 2, AS PLAT THEREOF RECORDED IN VOLUME 327, PAGE 1, OF THE MAP RECO]."
FRCL-2025-3338,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL8X7xfVeWYU2U7qzLdq+uWYIh97yOMftUQ13M97bpGdVT8P6GwYnqROS0XO1iJ1QUq0iAuGb3VOInLObJJbh+IS,2025-06-03,2025-05-01,1,"LOT 36, IN BLOCK 1, OF MALLARD CR OR PLAT THEREOF, RECORDED UNDER FILM CODE NO."
FRCL-2025-3339,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/uWgny8DGWgdCSIk15/sMVp+CZjifjpftlfbLny5ePYFGccFQrWOvB2Mh1wf6KlWB5aBY/pBlTV2X9kykISqaO,2025-07-01,2025-05-01,1,"LOT 1, BLOCK 6."
FRCL-2025-3341,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/+PRydAAFD6LUkxWeVvk+26KBtHSc/dpnRQ+H/jPLKvBVAaNX2QVzRHAYI2Hn+3A/EMDE6I9PbumMents3O9sG,2025-07-01,2025-05-01,1,"LOT 8 IN BLOCK 20, SCARSDALE SECTION 3, A § PLAT THEREOF RECORDED IN VOLUME 188, PAGE 78, OF THE MAP REC(."
FRCL-2025-3345,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CBVB1BBqujxt/um+gOuzn6q2yBnhoZB8PX03pALsp5BbmiHNuZJoNhPgKsboAD85Roa+6NAOK8UkzHSPhsXc3y,2025-06-03,2025-05-01,2,"0001 5318 LACREEK LN, SPRING, TX 77379"
FRCL-2025-3349,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CG/DmLhQhq6B7+Bxr0+YHT8+GHjg2sBeyuZXUAlQtDKnEo8WYNMMpovDELsJP6gDJaXml4OwwUnH2ZKfqvxAUF,2025-06-03,2025-05-01,2,"LOT 1, BLOCK 1; COUNTY, TEXAS, ACCORDING T' §50261, OF THE PLAT RE: FT."
FRCL-2025-3350,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+AL4zln5sOKRQcRvMs8w/nmVelfebvpMN7NUbjEarWhqBxH4teoBEuN2YNAyJfNaSaqTPGoJ28tMBbHwmKgU5v4,2025-06-03,2025-05-01,2,"LOT 4, IN BLOCK 12, OF SEQU COUNTY, TEXAS, ACCORDING T PAGE 40 OF THE MAP RECO OF."
