case_number,case_url,file_date,property_address,filing_no,volume_no,page_no
RP-2025-197560,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVcSjngh+DgTfslXS8+gBGCVvbUEOvpeIJKlU6Ce/I5VG/qDwXAS2FXXXsgxXGNnBer1Dnem8rcw8nse2ZQiIxQnhZGlIzp7oEgUrZRPxCSrnHgnlMNmEY0IY2Uz2gPzdMA==,05/23/2025,,,2,2
RP-2025-197114,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVR6VEvtLPvyrY68DiO9dOeR5cBDtuz85mY38VnVdSYsoP75Fec1EbSgXLjmk55izWx/uH4vv5fZ+8jtvmMhC3sexl12ot+R6z7B7faxpa/Bmuq9dfQPmKoctD0m4scAPsg==,05/23/2025,": ‘

See Exhibit A and which: ‘",,3,3
RP-2025-196910,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVbhdFQppyCIL2qBPKrY0PKzNvcQ2KmUhm4bD2Uk5r1UcuzHlnzhviCVpLvtfXxVy4Z5R1zdFVrsc9YtNmprITAyZmEjKn5kmL2YJqhB6AnSab9jG7DtZ0mXO/v4E27EAGQ==,05/23/2025,":
‘at Tn fn Black Trt 8 of Coppld Midget Villoge, Seton One
q
sakich property a comemenily known as 6154 Silent Cedars Drive, Houston, TR 77096.
te man ee 6)",,2,2
RP-2025-196292,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaWyN7Fad7DKLH7S35fMoeyN8lJVGhUwBh5D1u1TcD/OakjB5LK9/f7WnF4decPNsv8gdSKPhUQpacEAolWlN6FGZa7uOhU0t4cYzPcGK2DLhSLXzlpkEDrrjADU/c2EzQ==,05/23/2025,"; we)

The following descritied Condominium Uait, tnnited common clements
appurtenant thereto, together with am undivided interest In the general common
elements located in and befog part of El Dorado Trace Condominiums, 2
Condominium Project in Harris County, Texas, as fully described in and as
located, delineated and as defined in the Condominium Declaration for El
Dorado trace Condominiums, togethée=with ‘the Survey Plat, By-Laws and
Exhibits attached thereto, recorded in Volumé 106, Page 84 and Volume 155,
Page 22, et seq., of the Condominium-Recordy of Harris County, Texas; boing
Condominiom Unit Number 812{ fi~Building Lettered H, and the space
encompassed by the boundaries thei
elements of 81 Dorado Trace Condominiunis/being Parking Space(s) No(s). 514
and 547, together with the space/en
an undivided 0.358% ownership [nterest.in gad to the general common elements
together with the limited common eléments sppurtenant thereto; more
commiouly known as 260 El Dordio Bivd #812, Webster, Texas 77598,

A

‘The action seeks foreclosure of Plaiitiff's-Iigh on the above-referenced property in reference",,3,3
RP-2025-196122,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRDlz/rGzzGLcizhXfryOviQr7Skz1mPN7Xlv66j2GRisieacYRg1VBsC9CIZsYu6uIkTvVhZnM5pkqrLW+eOEyGlSMnB4sFBoGXi3SDJp7oT5/TOShaDRArd2oF8l8Rnw==,05/22/2025,,,8,8
RP-2025-195871,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVcp1u/xzwXaGBYYcrkRCfUxe6YZh9TfR85Z9hYQ4g0ZXkVpSLvdvRbHmsZGtt/xXxizenqO4Ceq+XpZi6pIF98Dn6OIlvBQYBxpnf/NqM4ydnjoYLiFkfe6WD8+5eQ/phg==,05/22/2025,":

Lot Ten (10), in Block One (2), of Windrose West, Sec. 7, a subdilsion according to the
map of plat thereof fled under Clerk's File No, X-499897, recorded at Film Code No.
555085, of the map records of Harris County, Texas and which property",,2,2
RP-2025-195798,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTb7axTCdPl2pdQu+R9g1GnuBFjT+cKJVCba6Un1HQQ+Hlri65ThQsc/f2o1mX23HhuEmmqpPY49bJ10WHVOJPPDyZFAgO7tD2i+DJRIR7REzaReEHvyNwkwgkW3FdjGgg==,05/22/2025,": ’

Lot Tevelve (12), in Blac TOD). of Windsose Wesi, Section Five (5), a subdivision in
Harris County, Tex accutding.to the map or plat recorded in Film Code No. 526290 of
the Map Records of HarrisiCourty, Texas and which property",,2,2
RP-2025-195474,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRpzaO1Sd+MDMBdDD7NYtE9pX8IS7Nj1Mk++Fl1BxZBVQ8PZHwl1/XiSN5wWGT14bKOOQlrqXooWRSdLTbTygKyzvbWZTVchxhLGNTi8rX6iIaKg4k3pUkQF8K+b87JWlw==,05/22/2025,,,2,2
RP-2025-195383,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYZdGfoWOeCDY9hjjIb+R66KCXFh3b21g2Kn9vh6Wt2SyoGCMuiNeKc/A2aCCnIRUCVZFa+Ia+v519UYH0mwfY67R1Z8S0p4NxMK+f8wDkItH67IvZkmgPOMtq2DoXqU5Q==,05/22/2025,,,3,3
RP-2025-195255,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfUmY02lXXJNvISvlhzOh+MAdvv5ZYu8sn2+czzUwCpChncJ+G00xNjJuyPbQ7CGwcNiHFyEyQax2r50eztYTFBnHog3W4TQRE7n97wZy0YPQXuVLsHr/wUuSPr7qCvqBA==,05/22/2025,"22127 Nobles Crossing Dr,, Spring, TX 77373)

TO WHOMIT MAY CONCERN:

NOTICE 1S HEREBY GIVEN pursuant to Texas Prépety Codo (912,007 and related stahtory
provisions that the above-styled and numbered cause is coreeey penne ‘in the UNITED

STATES DISTRICT COURT, SOUTHERN DISTRICLOF . The action directly
involves ttle to the real property described belat
Property Description:

LOT TWENTY (20), BLOCK TWO on feores ID PLAT OF FOSTWOOD, SECTION t
FIVE (5), a subdivision in Haris County)Mexas,-décgjaing to the map or plat thereof, recorded
i Volume 301, Page 116 of the Map Répords af Haris County, Texas,

Common Address: 22127 Nobles Ceigsing Dig, Spring, TX 77373

‘",,3,3
