case_number,case_url,file_date,property_address,filing_no,volume_no,page_no
RP-2025-169054,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVfEoejzf5Y8cApGv/K0ZhsbZ73f4AR6QYCwSHF3++w/KPcahnquCiqQ8T+YSMOjQgphyoNrwOT1wAuMrJ5RNaJwTh292j0mf1xsnNotXFb5FWvHFPuH4Hbw5C9yqS4hQvg==,05/06/2025,05/06/2025,,2,2
RP-2025-169053,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVWyyHhASiY2fHbyJ4FheJRl6uDhcsP8kgvMu1AldB5k26axxyU0QQJA6UKms0HuRokTZFYjNemvDDlTuweygOrtduiGbB+z0SHvf6+9/Gl8/tz7SMUYcNY+L9bvH1cmeFg==,05/06/2025,05/06/2025,,2,2
RP-2025-169050,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYYkmQjaSNbXSn9FQGRAzGjW5pBbsqNUbjcPz37+0JBc2U7h6IyrUbQygJeDfxEcc4Ddb0UPbaTEASzN40oVCDFYb4RdXIWsY838adNHXl3D4Prlys2VODn+ipWBsFr6NA==,05/06/2025,05/06/2025,,2,2
RP-2025-169036,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSegzB1hYtw9eQVcVpuXfRoMoMhC2WoUs3/9FRr+fk4p04trWLkRj1UCrte0en5F6sQM48xVW6Z2ao8Z4QRh0RtKCkn3u+gOziJsoArtvJlwn5bIeDdzne3NXMEwgbMsYQ==,05/06/2025,05/06/2025,,2,2
RP-2025-168643,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVefBp9IwP2e2Wivy3f9xSmR4DcvgEqA9DZar30e3AW1+TdW37+iNv/5lQTyNgtUXNNdvpwHIMkyenThDom2oOI1gymnRl9Fx35FbPrwUTDZVG8nbYHh7e4Xftje09kUOpA==,05/05/2025,05/05/2025,,2,2
RP-2025-168605,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVX4CLpQDIxfTdgBGi47QBhG5jB/C3AEC/UnqkjdfXdZyXCd9QL8o7m9MWGrqzmoktBcBoJ5ss0oZrqSvXm6JzcQb2MpxlZ29lZkgzIIAfqVwmmYslQXY+qRiJoYWXMr0eg==,05/05/2025,05/05/2025,,2,2
RP-2025-168540,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdjSKX+6/VNHKKCntrqRSwEOkKDJcvRKEYaPkGAe2b/ZajS2uXI6IjJdG457bx92chaoy0gqQ0NQqSeGs7N1/8La8yJkZpJQmVWQfRlhkp8g4/czbDQacEpdAmiwSEDYRg==,05/05/2025,05/05/2025,,3,3
RP-2025-168402,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaTmsutwP8avudYnJzbFjlLO7L0sPXbFiRtHaRR8XpkhgA3Ed2JwnfPcYGDg+sxIqkZr5P85j9EUM9ySYuvKurliLTPlQRmub8VD3nijll3m++p8SoOze+4xR1P41hQQRQ==,05/05/2025,05/05/2025,,3,3
RP-2025-168384,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVSF8A/7XymwqA6zYuvKQx9TdTjBT6zfOA4orzgQ6Bxx/81V67QJcQDvsuNDQ4IRc7gDjCaRaB0ZNPgpuFs6wAM5RVPDmiVYiVOCsRo5VjpSx66mja7dIYU/7+MhVqYUc6w==,05/05/2025,05/05/2025,,3,3
RP-2025-168164,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVRH4Cg+NvRxjlp2+EXL0LflldK13t3pL8pZNQMNc2b3lLdTPs2ALlUsn9hEY/fnMXx7kE/iKI4ZSsRyZ/kQIzJUBvm4GPne+0Sj6+61qUqdXDhx0+o7PdCkeiYko2cZYYg==,05/05/2025,05/05/2025,,2,2
