case_number,case_url,file_date,property_address,filing_no,volume_no,page_no
RP-2025-185693,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVZtw383gL7of+lSrooSyDqyRA3MuxZCVCo1vsmaig3JYdS+OUQyGqgYHTFXK9gKn3pIZ08GITQBLhxq+WYtG9q20yie4BWT4wMfn6BQAjlFLeHciovGyOpsAkRXYxk02Qg==,05/16/2025,,,2,2
RP-2025-185686,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVQmXIIcTZ1qmyXF0MKyGfH2jBGCPcmQIHSD0asM/w0LOWE5fklx7JCn4he9ZvUS2GrSnX4YnITfy4ekVJJjZ9QAn+ZKXI9b7DStG6U2bTeT+GzsAyy1Ye6H9zY9htK+5Ug==,05/16/2025,,,2,2
RP-2025-185667,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVXc64tDjNjC00Xz1Sy2s4b5IiyK7h3DhICWuB0qmBlL4xd4In+ho1TgdlsqPGLlWiNIMYXJsYHi80LN77vpL5goVzfyLHP+k/+c5FshDV9Ry/BtGVcdNJ4IJLXyNbKuN2A==,05/16/2025,,,2,2
RP-2025-185653,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVehOSdWmdAZf7AuIMq4l+s7JEBVvl1KVZBCI9F3rFmmg58tv5B8CZ02AQoQ/TQZ3IPyUZBmuVbjd3f9ICMJUvzBfPYYrKQDMIhRXWaUKohBf+z4K7mjfoY3zthBgR8+i1w==,05/16/2025,,,2,2
RP-2025-185645,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTXYwBVJabQ9SKEKhYCp1U5o2UvSKLCvTWDrPA4hfFxcDrUM2Nd/xIfPhZTCeA1Jm+0hMB74gY/rVR3VaJaqZ4EmuRWruW8Tg+RLT4rvikT+IjRYGp/9AXxXjAJidAGa1Q==,05/16/2025,,,2,2
RP-2025-185643,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVTflPA4IfQwdU3cBN0oDWBhzMq9k68ej7Gwju5TeXuoHVVdPeUUyK5FwwwWShd75MUXf75PL9GW34umYXw2ierx0hVqqeVAklvUfcYi543TMo1B3qbXIHNLBYjxeEf3S+g==,05/16/2025,,,2,2
RP-2025-185640,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVaf0541huC1sDqpiU/iwTVOL6xqJzaJh7DKi77Jh0BT4w7quc89f4JhIPge64OeqG0PiVRw2eqINF20te/onCnNuBqiUy/G3pGV3n+CumvGxlzFnl0ugTrfwianPWBlDTQ==,05/16/2025,,,2,2
RP-2025-185639,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVdUNkAo4vCmi9E2fs8IcO+tFCUTnsjAEVbPW5zOMUkjrNRJBIKY5s8SC3gBd8iJ2m4+UVclHoj/0+8D16+mUQX7RxQiMYNTBLvWeoA/ZeCwaEu2mqr6Xs2ALft+Q+kPBMw==,05/16/2025,,,3,3
RP-2025-185249,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVYBMmXwXCAGsvVEgG0sSMmq4TL/j5lBFBKFIgUMUVEthj+eXKUfp3wiQV0tA1HuzOXxTwk6qyCSaa1uU8hMpTiaSM5ZuUqxBql/eUBCa9l7vDy+p0fjSQ0uzJBktQYJ8cg==,05/15/2025,,,8,8
RP-2025-184411,https://www.cclerk.hctx.net/Applications/WebSearch/EComm/ViewEdocs.aspx?ID=ihpahpMbvcoWkF5RdbzIVU6wkYIrcMq/iw4ehln0hNtY5PaDkVA1+nzthyipvOpJW6D2ThC2cBLhJfMISfBz2ggZXif84a2e70MEJri6dntMxznYBSuXD/TvZr5klhbw5RJacaCsiNZ9P6qgp53sdg==,05/15/2025,,,2,2
