document_id,document_url,sale_date,file_date,pages,scraped_address
FRCL-2025-3364,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BfgIbuEIPcp22kCAqUwpYxicA6czlroPaJUtFD0nMR9kTewv+R+0bFZ/Ww1szGYo2SGTZBH1B1vb5t45IPscuY,2025-07-01,2025-05-01,2,"LOT 7, IN BLOCK 1, OF CORREC ADDITION IN."
FRCL-2025-3366,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+AFmMQAJzt6hOs5Z+WLVUHhBFQfJNhb1JuFnTgA/XWY/spO8TqOroV1fZ075yy4J9eIThdEY7QI/xlmifs48hJd,2025-07-01,2025-05-01,2,"01774 3518 SHORE SHADOWS DR, CROSBY, TX 77532"
FRCL-2025-3340,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL+pG1NUvtXEhN4/1OhHj+ujsNzqFZPtzlx7CBEVMnAqCXUagC82iDizvjP2vaAlcqMfhAe0iN6GtgkicSqraZYl,2025-07-01,2025-05-01,1,"LOT 7, IN BLOCK 2), OE, TO THE MAP OR PLAT THEREOF RECORDED IN."
FRCL-2025-3341,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL/+PRydAAFD6LUkxWeVvk+26KBtHSc/dpnRQ+H/jPLKvBVAaNX2QVzRHAYI2Hn+3A/EMDE6I9PbumMents3O9sG,2025-07-01,2025-05-01,1,"LOT 8 IN BLOCK 20, SCARSDALE SECT PLAT THEREOF RECORDED IN VOLUME 188, PAGE 78, OF."
FRCL-2025-3353,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+A30jqrw8vZtYNynhTYNCJTeBYYt9NNRsOLwM9ZtyF6G8lGknvQEKd0zcwP3ezfwoGwKvWGCYLvbDQXXdEp0pHV,2025-06-03,2025-05-01,2,"LOT 10, IN BLOCK 3 G HARRIS COUNTY, TEXAS, ACCOR VOLUME 16, PAGE 45 OF THE MAP FE."
FRCL-2025-3356,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CtOadQqH+D3GqpZHWxRqZVLyf6YLdNvTQDpsU7Znc0nH4BbmGqGqy8SjAtt7IAvZzla6IVdfc3MXqhpsTcnGr2,2025-06-03,2025-05-01,2,"0001 26614 RIDGEFIELD PARK LN, CYPRESS, TX 77433"
FRCL-2025-3368,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+AlFj8NQE4WPNWMSK59xEocB/+l28CzL8gxwsKpZQbxBMJLq9QH8EbgqkzwwRYMN0sWX1vVyJ5zzjDVkGwr7i4J,2025-07-01,2025-05-01,2,"LOT 37, BLOCK 1."
FRCL-2025-3377,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+A1FFOcRDjVicmBxAf6ThcbVGDHDmS+jPhrOz0kRVcq5nduJcbtjC3cdHiLGhvkLqEAJ2dtWgk5c5Gzc96QhFt9,2025-06-03,2025-05-01,2,"9401 Knight Rd, Houston, TX 77045"
FRCL-2025-3378,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+A9i+st0PjUyxDjTgvn8igQD8aHu1wgHZhbmE+2COpLPI4F93MdpqRDXo5XYCpNJnLPCeAlnLtDSQnx1L/j98Z1,2025-06-03,2025-05-01,2,"LOT 4, BLOCK 8."
FRCL-2025-3379,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+DP7oegxL1HmrCjiIZxR+qm83LTKfLxSXzIEGZrDXt4185Q5mCTQd645yIf1AT7G/I4VypuH7agWA0GxaoO468O,2025-06-03,2025-05-01,2,"LOT 47, BLOCK 1."
FRCL-2025-3380,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Af3Em/mkHYYxGoZXYhQ1cYo5qk4SdgZRMqF+nsqmi87bieHURumVzV5m+GtnsYgdL87vtqsA2NKMJ+FUWLFDl3,2025-06-03,2025-05-01,2,"LOT 3, BLOCK 1."
FRCL-2025-3381,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BlMZVwD0bWq+tGqrhs9G7l3Sw9NYYMR2mJzZPBipI6uRkA8J917WPPyG7V/JN94l+mC4IaZCbGawcmAak8UXVv,2025-06-03,2025-05-01,2,"LOT 6, BLOCK 3."
FRCL-2025-3382,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Dotj1ZGfsxvLaJZDNHHAt/c41bkOppDerbUpJGbKsIfJRVIjquksLwZC8378qtrOshwAeqVcp3+iTGO294OKZ5,2025-07-01,2025-05-01,2,"23626 STARGAZER POINT, SPRING, TX 77373"
FRCL-2025-3393,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BH75rO88VeMsBmPETSjfSZqdo/fskEbHtGXk85jz1ocSrTB5uP3nDtnnNujO9S4hGkjBzF0L9MwJaXWohdJzRL,2025-07-01,2025-05-01,2,"17202 Rancho Verde, Houston, TX 77095"
FRCL-2025-3406,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+APK9BQlAKLQwtf7ZL37TSPU1iq1neH/ZHhTLLfVnTKF1qzCwaDZ8vJGcIUnVQUQ04Yd3BvjSSsRWf9YF5P5dr5,2025-06-03,2025-05-01,2,"3406 2418 Crescent Hollow Ct, Spring, TX 77388"
FRCL-2025-3412,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NTMpaBXnukMxGqAWQp70aL+JYjkCUdKnfrtUwel3UWkYg18ctsE1ZRcF2gJfHUhEAsC2BcxQHH9Iz6+h4JJnq7cfdVWAJYFalNg84MtfcN4V,2025-07-01,2025-05-01,1,"LOT 168, IN BLOCK 20, INDIAN AP OR PLAT THEREOF RECORDED IH TO PROCEED WITH EXPEDITED FON 02413534 IN THE JUDICIAL DISTRIC! 5 BETWEEN THE HOURS OF 10: IN: 10;00 AM SALE WILL."
FRCL-2025-3451,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BowjTvPyZMwLrydqoNZFYSwxkRUboT6e4slvQ9rM5OCdUShWvoa2nNUz+7CfhsVtxmv6YHgwWqbGP6iTnx+QzT,2025-06-03,2025-05-08,2,"LOT 14, IN BLOCK 14 SUBDIVISION IN HARRIS CO COUNTY, TEXAS."
FRCL-2025-3465,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Ad0fxfNn7pSKgYFvWFXzcLUrT83Ki0Kvr9wcW7UcXho3NZuscGqazGxX6gLsuPGdabC0iB2soPB5fA65MNXeHT,2025-06-03,2025-05-08,2,"LOT 17, IN BLOCK 2, OF SYDNEY COUNTY, TEXAS; ACCORDING TO ‘ OF THE MAP RECORDS OF HA)."
FRCL-2025-3468,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+DmCl79F14gXiX9/aIWKVL7ACPlRZ3Y26DHMvguj+wgNjkGBXjxocLUXTZYPLTEJQQ9SxsmTGSav1bgXECSrrkx,2025-06-03,2025-05-08,2,"LOT 2, BLOCK 3."
FRCL-2025-3472,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CgZYJM5ExTCDksG2KyUVoHusIa13gH/J08qNZkQSMTeq126rbaO7FS+cSB+tOmP8OQCy7NKlDMHeGjhRRzd9gX,2025-07-01,2025-05-08,2,"LOT 18, IN BLOCK 1, WINDWATER IN HARRIS COUNTY, TEXAS, ACCC CODE NO."
FRCL-2025-3475,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+C0xD3UjdoIxhq/9vUvm/g/INSiq6vDEULog5AKHxdDMH8/EKCAn4KLNXfpcHh922AsUA1bc9D8d+wkbo6ziPZW,2025-07-01,2025-05-08,2,"LOT 4, IN BLOCK 4, OF BOWLING GREEN, ! COUNTY, TEXAS, ACCORDING TO THE MAP C 151, PAGE 111 OF THE MAP RECORDS OF HARR] SALE INF( DATE OF SALE: 07/01/2025 EARLIEST TIM LOCATION OF SALE: THE PLACE OF THE SALE SHALL LOCATION: 11,681 SQUARE FEET AREA OF COVERED CONCRETE, B THE BAYOU CITY EVENT CENTER PA."
FRCL-2025-3476,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Bjgqyw7KmRqdNcnyj468LBKTIOMbK07ggqe8UxFBZJMwTAg0UJxbFr9YR5wvRy/7jLTUCA1+vGJYJCHvxb5KGD,2025-07-01,2025-05-08,2,"LOT 17, BLOCK 10, SHEL WO THEREOF RECORDED IN COUNTY, TEXAS."
FRCL-2025-3478,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BxzgqgpCBYKl0/sRRZmJ1N+0I81uqu3RzxDR0xl2MUXd+33W2LqlKV1u/nOrokFX78g/DsBDS0BrV/6MXkdmkX,2025-07-01,2025-05-08,2,"LOT 9, IN BLOCK 10, OF CUTTEN G TEXAS, ACCORDING TO THE MAP (¢ THE MAP AND/OR PLAT RECORDS (."
FRCL-2025-3479,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BxKi/Iz0cPYx5uG/f7Kc5yUp07bjwJoCiiQLxa+gfDQnHRYsQFZomR3j7J3+U4UHJCV6BMu4qUMMeqpDPqo8mH,2025-07-01,2025-05-08,2,"LOT 10, BLOCK 2."
