document_id,document_url,sale_date,file_date,pages
FRCL-2025-3347,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BeDHCNF1ETHgBItZGSpLnlnHcsRptjClhHzZdr+0iBFqxKt6CJnZv4dhCVqACOhI6Q/6teD14VkjRu15NBmLqK,2025-06-03,2025-05-01,2
FRCL-2025-3348,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NSctYTuovCoLAnxWiQc4kOAh0YLc517RnU+WoSJwc1ijI81eBBG+SyaZH+BfNdpavDacmllYR7FARkB8KO655u9vUIdfW72FA8aP8cxs9R7F,2025-06-03,2025-05-01,3
FRCL-2025-3349,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CG/DmLhQhq6B7+Bxr0+YHT8+GHjg2sBeyuZXUAlQtDKnEo8WYNMMpovDELsJP6gDJaXml4OwwUnH2ZKfqvxAUF,2025-06-03,2025-05-01,2
FRCL-2025-3350,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+AL4zln5sOKRQcRvMs8w/nmVelfebvpMN7NUbjEarWhqBxH4teoBEuN2YNAyJfNaSaqTPGoJ28tMBbHwmKgU5v4,2025-06-03,2025-05-01,2
FRCL-2025-3351,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CTRkdW+5C/gt8fDVM7cWmD/wvq7/U0MfX+51W4kYipYFey4lUJ9uHOeG/a0ZcsFofINCwnRVbXntg94mU6k4fu,2025-06-03,2025-05-01,2
FRCL-2025-3352,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BCMoMEKpYq9R4B97keBJNkH+fKIEHKFf/ubG1l4n0RxkXu/WTFYe0nudFiQMFhe/L3yWomKCiqZ091knlKFTZt,2025-06-03,2025-05-01,2
FRCL-2025-3353,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+A30jqrw8vZtYNynhTYNCJTeBYYt9NNRsOLwM9ZtyF6G8lGknvQEKd0zcwP3ezfwoGwKvWGCYLvbDQXXdEp0pHV,2025-06-03,2025-05-01,2
FRCL-2025-3354,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+B1W20cpCxbOsPmXQ3QWCr5J/ogU3DaPOPHP+5Xmekhc584Fo+p6zUlKnGUTi9iEZOCs8qKYi3t5OgsAEkt6Pg5,2025-06-03,2025-05-01,2
FRCL-2025-3355,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NSctYTuovCoLAnxWiQc4kOBMb/npj5x5uDWN7mY7wxt4Jxv92raU+6h5F9TZBXmS/NriRan2UumfvW2DKf9kuy1e99pOQuclSqDiueillX5O,2025-06-03,2025-05-01,3
FRCL-2025-3356,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CtOadQqH+D3GqpZHWxRqZVLyf6YLdNvTQDpsU7Znc0nH4BbmGqGqy8SjAtt7IAvZzla6IVdfc3MXqhpsTcnGr2,2025-06-03,2025-05-01,2
FRCL-2025-3357,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CY5re93+3SIG4rraD7cp5fNUPY3c7ECPPD9LGIKt47pcmw7bLunGrPLdwuVtojPeaS+fwxoySgiuN04CGxC8al,2025-06-03,2025-05-01,2
FRCL-2025-3358,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+BM6YPLHueypAVO9kCIFWTkfx+t6FaGqVPQNSOCViB96YopBitCwXe5QMDx1IEP06L4Av544ritEJYWWxzk7ihe,2025-06-03,2025-05-01,2
FRCL-2025-3359,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+Dx0zVJqpFAqQ6kNNJTnmu6FIBhaMxxORceT8P1jnI8WdvuQiKlhmh69vcI/Y28Ow4Lr9AvfesNuNWpZl9P27+k,2025-07-01,2025-05-01,2
FRCL-2025-3360,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+CMHBEGpdk+qHzOoW1TaHs+sP6OvTXLaDDyL9AkhHiqPUi27bx9FEx+LhlqNY7XhfF0TskIiL/YgtNNL1ICEb48,2025-07-01,2025-05-01,2
FRCL-2025-3361,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+DvHjqNK5d25D6/N9TOYJEn/Doimsi/ohqH1ejtJUCP6N4y5lZlebQ2tXb6KlDq5Y47tp6VkMCdSgKQo68YUSnQ,2025-07-01,2025-05-01,2
FRCL-2025-3362,https://www.cclerk.hctx.net/applications/websearch/ViewECdocs.aspx?ID=bWXqGXasMeuE7YZXR3B2NW0UevloRcvKy8HaVZSCe+AUgY9mSR0+MnOc1+qSfVeeztkymnrR1Oa4QSPwaRvbQDHKW9uq9A/Lw8WQjPqoXxaAs0eYEF3duAqCEabWtS1/,2025-07-01,2025-05-01,2
